Date,Close,High,Low,Open,Volume
4/2/2018 22:56,4.47,4.47,4.465,4.465,900
4/2/2018 22:57,4.45,4.46,4.45,4.46,3200
4/2/2018 22:58,4.45,4.45,4.45,4.45,300
4/2/2018 22:59,4.455,4.455,4.455,4.455,100
4/2/2018 23:00,4.44,4.45,4.43,4.45,5211
4/2/2018 23:01,4.44,4.44,4.44,4.44,300
4/2/2018 23:02,4.45,4.45,4.45,4.45,100
4/2/2018 23:03,4.45,4.46,4.45,4.45,400
4/2/2018 23:04,4.465,4.465,4.46,4.46,400
4/2/2018 23:05,4.46,4.46,4.46,4.46,100
4/2/2018 23:06,4.455,4.46,4.455,4.46,1700
4/2/2018 23:08,4.47,4.47,4.47,4.47,100
4/2/2018 23:09,4.45,4.45,4.45,4.45,1900
4/2/2018 23:10,4.46,4.46,4.46,4.46,1744
4/2/2018 23:11,4.43,4.44,4.43,4.44,2300
4/2/2018 23:12,4.41,4.42,4.41,4.42,6080
4/2/2018 23:14,4.43,4.43,4.43,4.43,800
4/2/2018 23:15,4.42,4.435,4.42,4.43,2300
4/2/2018 23:16,4.42,4.42,4.42,4.42,200
4/2/2018 23:17,4.43,4.43,4.42,4.42,300
4/2/2018 23:18,4.43,4.43,4.43,4.43,800
4/2/2018 23:21,4.44,4.44,4.44,4.44,2300
4/2/2018 23:22,4.42,4.455,4.42,4.45,8400
4/2/2018 23:24,4.43,4.43,4.43,4.43,1700
4/2/2018 23:25,4.43,4.44,4.43,4.44,2300
4/2/2018 23:26,4.43,4.435,4.43,4.43,1000
4/2/2018 23:27,4.43,4.43,4.43,4.43,200
4/2/2018 23:29,4.42,4.43,4.41,4.43,3200
4/2/2018 23:30,4.43,4.43,4.43,4.43,100
4/2/2018 23:31,4.41,4.42,4.41,4.42,4600
4/2/2018 23:32,4.42,4.42,4.42,4.42,1700
4/2/2018 23:33,4.43,4.44,4.43,4.43,1000
4/2/2018 23:36,4.42,4.43,4.42,4.43,5600
4/2/2018 23:37,4.415,4.425,4.41,4.4242,5811
4/2/2018 23:38,4.41,4.41,4.41,4.41,200
4/2/2018 23:39,4.42,4.42,4.41,4.41,200
4/2/2018 23:40,4.43,4.43,4.42,4.42,2600
4/2/2018 23:41,4.42,4.435,4.42,4.43,3100
4/2/2018 23:42,4.42,4.44,4.42,4.42,1800
4/2/2018 23:43,4.42,4.42,4.42,4.42,500
4/2/2018 23:44,4.42,4.42,4.42,4.42,1000
4/2/2018 23:46,4.44,4.44,4.43,4.43,2300
4/2/2018 23:47,4.43,4.44,4.43,4.44,2600
4/2/2018 23:48,4.434,4.434,4.434,4.434,102
4/2/2018 23:49,4.44,4.44,4.435,4.435,1800
4/2/2018 23:50,4.45,4.455,4.45,4.45,5895
4/2/2018 23:51,4.445,4.45,4.44,4.45,1000
4/2/2018 23:52,4.45,4.45,4.45,4.45,300
4/2/2018 23:53,4.45,4.45,4.445,4.45,570
4/2/2018 23:54,4.45,4.45,4.45,4.45,300
4/2/2018 23:55,4.4451,4.45,4.4451,4.45,700
4/2/2018 23:56,4.44,4.45,4.44,4.45,3424
4/2/2018 23:57,4.42,4.43,4.41,4.43,8216
4/2/2018 23:59,4.415,4.415,4.415,4.415,400
4/3/2018 0:01,4.4,4.415,4.4,4.41,8100
4/3/2018 0:02,4.4,4.405,4.4,4.4,1000
4/3/2018 0:03,4.4,4.4,4.4,4.4,100
4/3/2018 0:04,4.4,4.4,4.4,4.4,100
4/3/2018 0:05,4.4202,4.4202,4.4,4.4,1986
4/3/2018 0:06,4.43,4.43,4.42,4.425,700
4/3/2018 0:07,4.42,4.421,4.42,4.421,310
4/3/2018 0:08,4.43,4.43,4.43,4.43,100
4/3/2018 0:09,4.43,4.43,4.43,4.43,200
4/3/2018 0:10,4.43,4.43,4.43,4.43,600
4/3/2018 0:11,4.42,4.42,4.42,4.42,800
4/3/2018 0:12,4.42,4.425,4.42,4.42,400
4/3/2018 0:13,4.3965,4.425,4.39,4.42,20166
4/3/2018 0:15,4.4,4.4,4.4,4.4,1627
4/3/2018 0:16,4.4,4.41,4.4,4.41,1300
4/3/2018 0:17,4.41,4.41,4.405,4.41,1300
4/3/2018 0:18,4.42,4.42,4.42,4.42,127
4/3/2018 0:19,4.43,4.43,4.42,4.42,3179
4/3/2018 0:20,4.41,4.44,4.41,4.42,4090
4/3/2018 0:21,4.425,4.425,4.42,4.42,400
4/3/2018 0:22,4.43,4.43,4.43,4.43,1500
4/3/2018 0:24,4.44,4.44,4.43,4.439,1400
4/3/2018 0:25,4.445,4.445,4.44,4.44,500
4/3/2018 0:26,4.44,4.445,4.43,4.44,2996
4/3/2018 0:27,4.42,4.435,4.42,4.435,600
4/3/2018 0:29,4.41,4.42,4.41,4.42,900
4/3/2018 0:30,4.42,4.43,4.42,4.42,1500
4/3/2018 0:31,4.425,4.43,4.42,4.43,1690
