Date,Open,High,Low,Close,Adj Close,Volume
6/4/2009,355.100006,364.25,318.75,353.612,221.62944,1067620
8/4/2009,353.612,357.225006,339.112,355.450012,222.781494,684700
9/4/2009,358.25,361.75,349.5,356.612,223.509735,748948
13-04-2009,356.612,366,344.513,352.274994,220.791489,783992
15-04-2009,352.274994,352.274994,325.013,342.700012,214.790237,3109748
16-04-2009,345,350,330.725006,335.325012,210.167908,2063528
17-04-2009,341.25,355.200012,338.25,348.274994,218.284439,1321172
20-04-2009,348.5,352.424988,343.299988,348.062012,218.150955,700736
21-04-2009,345,347.5,338.5,340.875,213.646469,323156
22-04-2009,343.75,346.25,339.037994,344.837006,216.1297,625712
23-04-2009,345,365,345,362.462006,227.176346,1039260
24-04-2009,360,363.725006,351.25,362.149994,226.980713,778060
27-04-2009,357.5,362.5,354.274994,358.149994,224.473709,450748
28-04-2009,354.5,367.212006,354.337006,357.888,224.309464,722360
29-04-2009,360,378.725006,358.274994,376.825012,236.178436,1090844
4/5/2009,376.825012,408.75,372.5,407.312012,255.286407,1389348
5/5/2009,400.5,408.75,385.649994,395.737,248.031662,1240220
6/5/2009,392,401.700012,387.312012,392.037994,245.713303,940728
7/5/2009,393.75,395.25,383.112,388.674988,243.605499,692752
8/5/2009,385.5,392.975006,375.75,380.350006,238.387741,736424
11/5/2009,382.25,384.5,373.837006,378.625,237.306564,325560
12/5/2009,375,401.25,375,399.487,250.381973,1032780
13-05-2009,397,399.700012,389.5,393.462006,246.605789,547244
14-05-2009,384.987,396.725006,383.399994,391.537994,245.399902,344900
15-05-2009,395,401.225006,391.25,398.575012,249.810425,527724
18-05-2009,437,452.5,423.5,442.462006,277.317017,6708
19-05-2009,452.5,457.5,388.75,390.937988,245.023865,2221796
20-05-2009,386.75,402,379.549988,383.524994,240.37767,1627580
21-05-2009,385,389.475006,373.75,375.662994,235.450104,989668
22-05-2009,374.75,381.25,371.263,379.850006,238.074371,923212
25-05-2009,380,384,372.75,376.987,236.279968,744892
26-05-2009,378.75,389.5,375.5,385.799988,241.803589,862744
27-05-2009,407.174988,407.174988,388.763,396.149994,248.290573,639180
28-05-2009,399.75,406.25,390.25,393.950012,246.911713,762748
29-05-2009,400,403.674988,394.950012,400.5,251.016922,740008
1/6/2009,401.25,421.25,401.25,419.212006,262.744812,930164
2/6/2009,421.25,426.700012,406.25,420.575012,263.599152,595084
3/6/2009,424.75,426.25,405.5,411.475006,257.89563,740076
